w0,w1,w2,w3,w4,total,mean_age,date
113,37,22,11,7,190,8.505263157894737,2020-05-01
109,44,25,12,12,202,9.569306930693068,2020-04-24
131,49,25,10,13,228,8.635964912280702,2020-04-17
89,50,28,21,31,219,12.780821917808218,2020-04-10
99,47,37,25,22,230,11.782608695652174,2020-04-03
92,47,29,21,11,200,10.82,2020-03-27
94,49,39,8,9,199,9.793969849246231,2020-03-20
105,51,18,6,5,185,7.918918918918919,2020-03-13
107,35,12,0,9,163,7.595092024539877,2020-03-06
81,30,9,5,12,137,9.124087591240876,2020-02-28
84,21,11,10,16,142,10.161971830985916,2020-02-21
77,28,17,15,17,154,11.487012987012987,2020-02-14
97,41,36,15,10,199,10.035175879396984,2020-02-07
99,52,19,8,5,183,8.021857923497267,2020-01-31
105,41,17,13,3,179,7.988826815642458,2020-01-24
103,57,22,8,3,193,8.181347150259068,2020-01-17
101,28,10,2,3,144,6.534722222222222,2020-01-10
93,23,9,8,4,137,7.226277372262774,2020-01-03
92,42,20,5,7,166,8.337349397590362,2019-12-27
99,35,15,3,6,158,7.253164556962025,2019-12-20
102,42,14,6,6,170,7.3882352941176475,2019-12-13
99,57,16,5,1,178,6.365168539325842,2019-12-06
105,40,17,4,0,166,5.9879518072289155,2019-11-29
93,49,18,0,0,160,6.1375,2019-11-22
110,31,5,1,1,148,4.837837837837838,2019-11-15
121,15,9,1,1,147,4.428571428571429,2019-11-08
91,36,11,1,2,141,5.971631205673759,2019-11-01
114,24,8,1,1,148,4.824324324324325,2019-10-25
95,28,4,2,0,129,4.829457364341085,2019-10-18
96,28,15,6,10,155,8.509677419354839,2019-10-11
75,35,11,8,15,144,10.083333333333334,2019-10-04
76,26,19,9,20,150,11.026666666666667,2019-09-27
75,29,14,20,11,149,10.416107382550335,2019-09-20
74,22,29,12,9,146,10.075342465753424,2019-09-13
81,59,40,12,2,194,9.45360824742268,2019-09-06
92,60,16,7,1,176,7.3522727272727275,2019-08-30
114,42,28,9,5,198,7.712121212121212,2019-08-23
97,50,20,8,2,177,11.666666666666666,2019-08-16
123,49,19,5,6,202,11.55940594059406,2019-08-09
104,45,17,4,6,176,12.090909090909092,2019-08-02
81,45,14,4,5,149,7.315436241610739,2019-07-26
97,33,18,7,5,160,7.39375,2019-07-19
88,32,13,5,3,141,6.865248226950355,2019-07-12
87,41,25,12,17,182,10.31868131868132,2019-07-05
75,31,27,20,10,163,10.760736196319018,2019-06-28
92,52,42,17,9,212,10.212264150943396,2019-06-21
81,66,27,15,6,195,9.543589743589743,2019-06-14
106,43,30,6,0,185,7.45945945945946,2019-06-07
82,46,12,1,0,141,6.198581560283688,2019-05-31
101,28,4,1,0,134,4.619402985074627,2019-05-24
95,24,2,0,0,121,4.380165289256198,2019-05-17
83,22,13,3,0,121,6.223140495867769,2019-05-10
91,39,20,10,7,167,8.461077844311378,2019-05-03
80,37,23,14,9,163,9.656441717791411,2019-04-26
78,35,18,11,4,146,8.308219178082192,2019-04-19
86,48,26,8,2,170,8.18235294117647,2019-04-12
97,49,19,6,4,175,7.405714285714286,2019-04-05
94,32,13,6,3,148,6.506756756756757,2019-03-29
94,35,16,10,0,155,7.129032258064516,2019-03-22
88,33,12,0,1,134,6.164179104477612,2019-03-15
83,24,2,5,0,114,5.385964912280702,2019-03-08
85,17,9,0,1,112,5.321428571428571,2019-03-01
72,23,3,2,0,100,5.1,2019-02-22
97,15,10,3,3,128,5.8515625,2019-02-15
76,46,16,8,3,149,8.335570469798657,2019-02-08
107,33,25,4,0,169,6.810650887573964,2019-02-01
102,62,26,3,0,193,6.979274611398964,2019-01-25
139,49,10,0,0,198,5.111111111111111,2019-01-18
110,24,6,0,0,140,4.635714285714286,2019-01-11
108,19,5,2,0,134,4.880597014925373,2019-01-04
76,42,17,7,2,144,7.902777777777778,2018-12-28
112,42,24,6,5,189,7.767195767195767,2018-12-21
90,42,29,10,6,177,8.807909604519773,2018-12-14
97,47,18,7,6,175,9.034285714285714,2018-12-07
98,41,17,8,3,167,7.3053892215568865,2018-11-30
80,27,20,4,5,136,7.669117647058823,2018-11-23
99,42,14,7,3,165,7.072727272727272,2018-11-16
108,32,12,6,1,159,6.012578616352202,2018-11-09
98,29,16,3,1,147,6.217687074829932,2018-11-02
77,37,12,3,3,132,6.878787878787879,2018-10-26
89,42,23,4,2,160,7.44375,2018-10-19
68,63,30,3,7,171,9.461988304093568,2018-10-12
90,58,17,6,5,176,8.193181818181818,2018-10-05
65,59,47,14,4,189,10.904761904761905,2018-09-28
77,76,24,7,2,186,8.935483870967742,2018-09-21
106,58,26,7,2,199,8.21608040201005,2018-09-14
92,55,21,3,1,172,7.133720930232558,2018-09-07
86,44,18,7,0,155,7.393548387096774,2018-08-31
91,71,19,7,0,188,7.4787234042553195,2018-08-24
98,54,17,1,0,170,6.482352941176471,2018-08-17
99,47,22,6,1,175,7.097142857142857,2018-08-10
137,62,21,8,7,235,8.238297872340425,2018-08-03
110,44,18,7,7,186,7.913978494623656,2018-07-27
123,48,28,10,2,211,7.691943127962086,2018-07-20
82,47,25,11,1,166,8.728915662650602,2018-07-13
98,67,34,1,0,200,7.525,2018-07-06
96,61,10,0,1,168,6.238095238095238,2018-06-29
104,29,16,0,1,150,5.446666666666666,2018-06-22
78,39,12,0,1,130,6.523076923076923,2018-06-15
100,31,9,3,0,143,5.706293706293707,2018-06-08
73,62,8,0,0,143,6.34965034965035,2018-06-01
126,59,4,0,1,190,5.8578947368421055,2018-05-25
114,21,5,0,0,140,4.542857142857143,2018-05-18
63,20,1,0,0,84,4.761904761904762,2018-05-11
83,16,3,1,0,103,4.601941747572815,2018-05-04
64,25,7,0,0,96,5.416666666666667,2018-04-27
70,39,6,0,0,115,5.930434782608696,2018-04-20
121,26,2,0,0,149,4.442953020134228,2018-04-13
67,18,4,0,0,89,5.067415730337078,2018-04-06
62,31,3,1,1,98,6.163265306122449,2018-03-30
76,20,2,0,1,99,4.98989898989899,2018-03-23
71,20,7,2,0,100,5.77,2018-03-16
75,42,10,0,0,127,6.078740157480315,2018-03-09
80,40,5,1,0,126,5.642857142857143,2018-03-02
87,20,3,0,0,110,4.4363636363636365,2018-02-23
71,18,4,0,0,93,4.645161290322581,2018-02-16
91,23,3,0,0,117,4.47008547008547,2018-02-09
77,32,9,1,1,120,6.091666666666667,2018-02-02
81,48,11,2,0,142,6.802816901408451,2018-01-26
95,39,13,2,0,149,6.2885906040268456,2018-01-19
100,41,11,1,0,153,6.150326797385621,2018-01-12
89,25,13,3,0,130,6.246153846153846,2018-01-05
65,44,21,3,0,133,8.090225563909774,2017-12-29
73,50,21,1,0,145,7.268965517241379,2017-12-22
73,48,15,3,0,139,6.985611510791367,2017-12-15
82,38,10,2,0,132,6.128787878787879,2017-12-08
75,44,9,5,0,133,6.834586466165414,2017-12-01
84,32,27,5,1,149,7.416107382550336,2017-11-24
90,53,10,4,0,157,6.6687898089171975,2017-11-17
67,33,8,0,1,109,5.834862385321101,2017-11-10
